"","week","who_variants","n","freq","Variant names"
"1",2021-01-04,"Alpha",5,0.04,"Alpha"
"2",2021-01-04,"Epsilon",7,0.05,"Epsilon"
"3",2021-01-04,"Other",130,0.92,"Other"
"4",2021-01-11,"Alpha",9,0.11,"Alpha"
"5",2021-01-11,"Epsilon",4,0.05,"Epsilon"
"6",2021-01-11,"Iota",2,0.02,"Iota"
"7",2021-01-11,"Omicron (BA.1)",1,0.01,"Omicron (BA.1)"
"8",2021-01-11,"Other",69,0.81,"Other"
"9",2021-01-18,"Alpha",5,0.05,"Alpha"
"10",2021-01-18,"Epsilon",8,0.07,"Epsilon"
"11",2021-01-18,"Other",94,0.88,"Other"
"12",2021-01-25,"Alpha",22,0.21,"Alpha"
"13",2021-01-25,"Epsilon",3,0.03,"Epsilon"
"14",2021-01-25,"Iota",4,0.04,"Iota"
"15",2021-01-25,"Other",75,0.72,"Other"
"16",2021-02-01,"Alpha",19,0.2,"Alpha"
"17",2021-02-01,"Epsilon",2,0.02,"Epsilon"
"18",2021-02-01,"Iota",3,0.03,"Iota"
"19",2021-02-01,"Other",71,0.75,"Other"
"20",2021-02-08,"Alpha",33,0.12,"Alpha"
"21",2021-02-08,"Beta",2,0.01,"Beta"
"22",2021-02-08,"Epsilon",31,0.12,"Epsilon"
"23",2021-02-08,"Iota",12,0.05,"Iota"
"24",2021-02-08,"Other",187,0.71,"Other"
"25",2021-02-15,"Alpha",64,0.33,"Alpha"
"26",2021-02-15,"Beta",1,0.01,"Beta"
"27",2021-02-15,"Epsilon",8,0.04,"Epsilon"
"28",2021-02-15,"Iota",8,0.04,"Iota"
"29",2021-02-15,"Other",111,0.58,"Other"
"30",2021-02-22,"Alpha",94,0.4,"Alpha"
"31",2021-02-22,"Beta",3,0.01,"Beta"
"32",2021-02-22,"Epsilon",17,0.07,"Epsilon"
"33",2021-02-22,"Iota",12,0.05,"Iota"
"34",2021-02-22,"Other",110,0.47,"Other"
"35",2021-03-01,"Alpha",135,0.47,"Alpha"
"36",2021-03-01,"Epsilon",23,0.08,"Epsilon"
"37",2021-03-01,"Gamma",3,0.01,"Gamma"
"38",2021-03-01,"Iota",35,0.12,"Iota"
"39",2021-03-01,"Other",90,0.31,"Other"
"40",2021-03-08,"Alpha",218,0.41,"Alpha"
"41",2021-03-08,"Beta",3,0.01,"Beta"
"42",2021-03-08,"Epsilon",29,0.05,"Epsilon"
"43",2021-03-08,"Gamma",5,0.01,"Gamma"
"44",2021-03-08,"Iota",88,0.17,"Iota"
"45",2021-03-08,"Other",185,0.35,"Other"
"46",2021-03-15,"Alpha",232,0.41,"Alpha"
"47",2021-03-15,"Beta",2,0,"Beta"
"48",2021-03-15,"Epsilon",34,0.06,"Epsilon"
"49",2021-03-15,"Gamma",1,0,"Gamma"
"50",2021-03-15,"Iota",155,0.27,"Iota"
"51",2021-03-15,"Other",144,0.25,"Other"
"52",2021-03-22,"Alpha",327,0.46,"Alpha"
"53",2021-03-22,"Beta",1,0,"Beta"
"54",2021-03-22,"Epsilon",14,0.02,"Epsilon"
"55",2021-03-22,"Gamma",5,0.01,"Gamma"
"56",2021-03-22,"Iota",233,0.32,"Iota"
"57",2021-03-22,"Mu",1,0,"Mu"
"58",2021-03-22,"Other",136,0.19,"Other"
"59",2021-03-29,"Alpha",157,0.46,"Alpha"
"60",2021-03-29,"Beta",5,0.01,"Beta"
"61",2021-03-29,"Epsilon",7,0.02,"Epsilon"
"62",2021-03-29,"Gamma",5,0.01,"Gamma"
"63",2021-03-29,"Iota",100,0.29,"Iota"
"64",2021-03-29,"Other",68,0.2,"Other"
"65",2021-04-05,"Alpha",520,0.51,"Alpha"
"66",2021-04-05,"Beta",7,0.01,"Beta"
"67",2021-04-05,"Epsilon",18,0.02,"Epsilon"
"68",2021-04-05,"Gamma",16,0.02,"Gamma"
"69",2021-04-05,"Iota",305,0.3,"Iota"
"70",2021-04-05,"Mu",1,0,"Mu"
"71",2021-04-05,"Other",158,0.15,"Other"
"72",2021-04-12,"Alpha",382,0.56,"Alpha"
"73",2021-04-12,"Beta",5,0.01,"Beta"
"74",2021-04-12,"Delta",1,0,"Delta"
"75",2021-04-12,"Epsilon",3,0,"Epsilon"
"76",2021-04-12,"Gamma",11,0.02,"Gamma"
"77",2021-04-12,"Iota",170,0.25,"Iota"
"78",2021-04-12,"Mu",1,0,"Mu"
"79",2021-04-12,"Other",106,0.16,"Other"
"80",2021-04-19,"Alpha",399,0.6,"Alpha"
"81",2021-04-19,"Beta",6,0.01,"Beta"
"82",2021-04-19,"Epsilon",2,0,"Epsilon"
"83",2021-04-19,"Gamma",20,0.03,"Gamma"
"84",2021-04-19,"Iota",167,0.25,"Iota"
"85",2021-04-19,"Omicron (BA.2)",1,0,"Omicron (BA.2)"
"86",2021-04-19,"Other",69,0.1,"Other"
"87",2021-04-26,"Alpha",262,0.61,"Alpha"
"88",2021-04-26,"Beta",1,0,"Beta"
"89",2021-04-26,"Delta",2,0,"Delta"
"90",2021-04-26,"Epsilon",1,0,"Epsilon"
"91",2021-04-26,"Gamma",14,0.03,"Gamma"
"92",2021-04-26,"Iota",109,0.25,"Iota"
"93",2021-04-26,"Mu",5,0.01,"Mu"
"94",2021-04-26,"Other",36,0.08,"Other"
"95",2021-05-03,"Alpha",198,0.59,"Alpha"
"96",2021-05-03,"Beta",4,0.01,"Beta"
"97",2021-05-03,"Delta",11,0.03,"Delta"
"98",2021-05-03,"Gamma",9,0.03,"Gamma"
"99",2021-05-03,"Iota",65,0.19,"Iota"
"100",2021-05-03,"Other",50,0.15,"Other"
"101",2021-05-10,"Alpha",154,0.54,"Alpha"
"102",2021-05-10,"Delta",14,0.05,"Delta"
"103",2021-05-10,"Epsilon",2,0.01,"Epsilon"
"104",2021-05-10,"Gamma",14,0.05,"Gamma"
"105",2021-05-10,"Iota",59,0.21,"Iota"
"106",2021-05-10,"Mu",6,0.02,"Mu"
"107",2021-05-10,"Other",34,0.12,"Other"
"108",2021-05-17,"Alpha",126,0.65,"Alpha"
"109",2021-05-17,"Beta",1,0.01,"Beta"
"110",2021-05-17,"Delta",10,0.05,"Delta"
"111",2021-05-17,"Gamma",18,0.09,"Gamma"
"112",2021-05-17,"Iota",27,0.14,"Iota"
"113",2021-05-17,"Mu",2,0.01,"Mu"
"114",2021-05-17,"Other",11,0.06,"Other"
"115",2021-05-24,"Alpha",49,0.45,"Alpha"
"116",2021-05-24,"Delta",8,0.07,"Delta"
"117",2021-05-24,"Gamma",8,0.07,"Gamma"
"118",2021-05-24,"Iota",16,0.15,"Iota"
